mu,n,K,seed,protocol,last,average,floor
0.5,2048,4,0,reshuffle,0.023920945081649676,0.030162612181107506,0.016850325164570426
0.5,2048,8,0,reshuffle,0.021769270117718002,0.02521419098282701,0.016850325164570426
0.5,2048,16,0,reshuffle,0.02093861450181131,0.022495532055722293,0.016850325164570426
0.5,2048,32,0,reshuffle,0.020761623113756227,0.021301576264872907,0.016850325164570426
0.5,2048,64,0,reshuffle,0.020746772905338697,0.020898391849655355,0.016850325164570426
0.5,2048,128,0,reshuffle,0.020745662917501483,0.020786059821417683,0.016850325164570426
0.5,2048,256,0,reshuffle,0.020745499621221294,0.020756518599837157,0.016850325164570426
0.5,2048,1,0,cyclic,0.08119187250755386,0.05265146218924461,0.016850325164570426
0.5,2048,2,0,cyclic,0.042048542321186023,0.03919439385998403,0.016850325164570426
0.5,2048,4,0,cyclic,0.02637395307495863,0.030611294751377246,0.016850325164570426
0.5,2048,8,0,cyclic,0.02184758951541118,0.025390728375318108,0.016850325164570426
0.5,2048,16,0,cyclic,0.02091691972214204,0.022559747032729005,0.016850325164570426
0.5,2048,32,0,cyclic,0.020761862393347454,0.021320877283336714,0.016850325164570426
0.5,2048,64,0,cyclic,0.020746855415090873,0.02090443650693569,0.016850325164570426
0.5,2048,128,0,cyclic,0.02074564096888426,0.020787722326487266,0.016850325164570426
0.5,2048,256,0,cyclic,0.020745501073480405,0.02075687113847954,0.016850325164570426
0.5,2048,1,1,with_replacement,0.044831852214711185,0.05901033988590256,0.016850325164570426
0.5,2048,2,1,with_replacement,0.03359970889089934,0.04356004256384188,0.016850325164570426
0.5,2048,4,1,with_replacement,0.02462183709260583,0.032925513941074805,0.016850325164570426
0.5,2048,8,1,with_replacement,0.02125905309977258,0.02600274633424247,0.016850325164570426
0.5,2048,16,1,with_replacement,0.02175757291615748,0.02228510074049149,0.016850325164570426
0.5,2048,32,1,with_replacement,0.019677313080067198,0.02053772534473567,0.016850325164570426
0.5,2048,64,1,with_replacement,0.019650898129581096,0.019891892934568098,0.016850325164570426
0.5,2048,128,1,with_replacement,0.019642732826866256,0.0197063415526475,0.016850325164570426
0.5,2048,256,1,with_replacement,0.019641698888675823,0.019658146719053415,0.016850325164570426
0.5,2048,1,1,reshuffle,0.04119628292821728,0.05534113997872121,0.016850325164570426
0.5,2048,2,1,reshuffle,0.029345012772851523,0.04049116072240378,0.016850325164570426
0.5,2048,4,1,reshuffle,0.023516265461825298,0.030836343646969744,0.016850325164570426
0.5,2048,8,1,reshuffle,0.02089620833627978,0.02496803664004245,0.016850325164570426
0.5,2048,16,1,reshuffle,0.01991092858673614,0.021785405160607087,0.016850325164570426
0.5,2048,32,1,reshuffle,0.01966266684227701,0.02033408679129068,0.016850325164570426
0.5,2048,64,1,reshuffle,0.01964287114138582,0.01983127368547123,0.016850325164570426
0.5,2048,128,1,reshuffle,0.019650145556265965,0.019690676910738968,0.016850325164570426
0.5,2048,256,1,reshuffle,0.01964169864498528,0.019654181547965634,0.016850325164570426
0.5,2048,1,1,cyclic,0.03584627400616876,0.056187766187380174,0.016850325164570426
0.5,2048,2,1,cyclic,0.027933638143147747,0.039957501975571914,0.016850325164570426
